carrier,hub,zone,effective_weight_lb,price
speedx,CA Zone,3,60,3.38
Uniuni5000,CA Zone,3,60,3.72
Veho,CA Zone,3,60,3.96
regional_carr,CA Zone,3,60,4.22
JITSU,CA Zone,3,60,4.27
FMGS,CA Zone,3,60,4.78
shipbob,CA Zone,3,60,5.07
FMGN,CA Zone,3,60,6.02
Tier4,CA Zone,3,60,6.35
IB,CA Zone,3,60,6.93
national_carrier,CA Zone,3,60,7.08
speedx,PA Zone,8,60,3.94
Uniuni5000,PA Zone,8,60,4.23
regional_carr,PA Zone,8,60,4.73
Veho,PA Zone,8,60,5.0
shipbob,PA Zone,8,60,5.73
FMGS,PA Zone,8,60,6.07
FMGN,PA Zone,8,60,7.88
Tier4,PA Zone,8,60,12.29
IB,PA Zone,8,60,13.42
national_carrier,PA Zone,8,60,13.67
speedx,TX Zone,6,60,3.63
Uniuni5000,TX Zone,6,60,3.88
regional_carr,TX Zone,6,60,4.38
Veho,TX Zone,6,60,4.59
shipbob,TX Zone,6,60,5.07
FMGS,TX Zone,6,60,5.52
FMGN,TX Zone,6,60,6.9
Tier4,TX Zone,6,60,10.25
IB,TX Zone,6,60,11.19
national_carrier,TX Zone,6,60,11.39
