Weight_Max,1,2,3,4,5,6,7,8,9
1,2.66,2.72,2.94,2.97,3,3.17,3.28,3.43,6.6
2,2.66,2.72,2.94,2.97,3,3.17,3.28,3.43,6.6
3,2.66,2.72,2.94,2.97,3,3.17,3.28,3.43,6.6
4,2.66,2.72,2.94,2.97,3,3.17,3.28,3.43,6.6
5,2.7,2.76,2.99,3.02,3.05,3.21,3.33,3.48,6.75
6,2.7,2.76,2.99,3.02,3.05,3.21,3.33,3.48,6.75
7,2.7,2.76,2.99,3.02,3.05,3.21,3.33,3.48,6.75
8,2.7,2.76,2.99,3.02,3.05,3.21,3.33,3.48,6.75
9,2.74,2.8,3.03,3.06,3.1,3.26,3.38,3.54,7
10,2.74,2.8,3.03,3.06,3.1,3.26,3.38,3.54,7
11,2.74,2.8,3.03,3.06,3.1,3.26,3.38,3.54,7
12,2.74,2.8,3.03,3.06,3.1,3.26,3.38,3.54,7
13,2.78,2.84,3.08,3.11,3.14,3.31,3.43,3.59,7.2
14,2.78,2.84,3.08,3.11,3.14,3.31,3.43,3.59,7.2
15,2.78,2.84,3.08,3.11,3.14,3.31,3.43,3.59,7.2
15.99,2.78,2.84,3.08,3.11,3.14,3.31,3.43,3.59,7.2
16,2.92,2.98,3.23,3.27,3.3,3.48,3.6,3.77,7.35
32,2.97,3.03,3.28,3.31,3.35,3.53,3.66,3.82,8.1
48,3.01,3.07,3.33,3.36,3.4,3.58,3.71,3.88,9.1
64,3.05,3.12,3.38,3.41,3.45,3.63,3.77,3.94,10.1
80,3.1,3.17,3.43,3.47,3.5,3.69,3.82,4,11.1
96,3.15,3.21,3.48,3.52,3.55,3.74,3.88,4.06,12.1
112,3.19,3.26,3.53,3.57,3.61,3.8,3.94,4.12,13.1
128,3.24,3.31,3.59,3.62,3.66,3.86,4,4.18,14.1
144,3.29,3.36,3.64,3.68,3.72,3.92,4.06,4.24,15.1
160,3.34,3.41,3.7,3.73,3.77,3.97,4.12,4.31,16.1
176,3.39,3.46,3.75,3.79,3.83,4.03,4.18,4.37,17.1
192,3.44,3.51,3.81,3.85,3.89,4.09,4.24,4.44,18.1
208,3.49,3.57,3.86,3.9,3.94,4.16,4.3,4.5,19.1
224,3.54,3.62,3.92,3.96,4,4.22,4.37,4.57,20.1
240,3.6,3.67,3.98,4.02,4.06,4.28,4.43,4.64,21.1
256,3.65,3.73,4.04,4.08,4.12,4.34,4.5,4.71,22.1
272,3.71,3.78,4.1,4.14,4.18,4.41,4.57,4.78,23.1
288,3.76,3.84,4.16,4.21,4.25,4.48,4.64,4.85,24.1
304,3.82,3.9,4.22,4.27,4.31,4.54,4.71,4.92,25.1
320,3.88,3.96,4.29,4.33,4.38,4.61,4.78,5,26.1
336,4.07,4.15,4.5,4.55,4.59,4.84,5.02,5.25,27.6
352,4.27,4.36,4.73,4.78,4.82,5.08,5.27,5.51,29.1
368,4.49,4.58,4.96,5.01,5.06,5.34,5.53,5.79,30.6
384,4.71,4.81,5.21,5.26,5.32,5.6,5.81,6.07,32.1
400,4.94,5.05,5.47,5.53,5.58,5.88,6.1,6.38,33.6
416,5.19,5.3,5.74,5.8,5.86,6.18,6.4,6.7,35.1
432,5.45,5.57,6.03,6.09,6.16,6.49,6.72,7.03,36.6
448,5.72,5.84,6.33,6.4,6.46,6.81,7.06,7.38,38.1
464,6.01,6.14,6.65,6.72,6.79,7.15,7.41,7.75,39.6
480,6.31,6.44,6.98,7.05,7.12,7.51,7.78,8.14,41.1
